Title,ReleaseYear,Certificate,Runtime,Genres,Description,IMDBRating,Metascore,Votes,GrossRevenue,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Iron Man Three,2013,PG-13,130,"Action, Adventure, Sci-Fi","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.2,62,818710,409.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain America: Civil War,2016,PG-13,147,"Action, Adventure, Sci-Fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,75,744903,408.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games,2012,PG-13,142,"Action, Adventure, Sci-Fi",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,7.2,68,893456,408.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jumanji: Welcome to the Jungle,2017,PG-13,119,"Action, Adventure, Comedy","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",6.9,58,361152,404.52,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",7.4,73,787280,403.71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jurassic Park,1993,PG-13,127,"Action, Adventure, Sci-Fi",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.2,68,938305,402.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers: Revenge of the Fallen,2009,PG-13,149,"Action, Adventure, Sci-Fi","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",6.0,35,401135,402.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Frozen,2013,PG,102,"Animation, Adventure, Comedy","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",7.5,75,607601,400.74,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Far from Home,2019,PG-13,129,"Action, Adventure, Sci-Fi","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.4,69,451626,390.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guardians of the Galaxy Vol. 2,2017,PG-13,136,"Action, Adventure, Comedy","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6,67,642148,389.81,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,"Adventure, Fantasy, Mystery","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.2,85,837554,381.01,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Finding Nemo,2003,G,100,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.2,90,1010209,380.84,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,"Action, Adventure, Fantasy","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",7.6,68,758085,380.26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,94,1764369,377.85,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,2004,PG-13,127,"Action, Adventure, Sci-Fi",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,7.4,83,626369,373.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Passion of the Christ,2004,R,127,Drama,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",7.2,47,225845,370.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Secret Life of Pets,2016,PG,87,"Animation, Adventure, Comedy","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",6.5,61,196841,368.38,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despicable Me 2,2013,PG,98,"Animation, Adventure, Comedy","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",7.3,62,389440,368.06,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Jungle Book,2016,PG,106,"Adventure, Drama, Family","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",7.4,77,272236,364.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Deadpool,2016,R,108,"Action, Adventure, Comedy","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",8.0,65,986601,363.07,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Out,2015,PG,95,"Animation, Adventure, Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.2,94,680668,356.46,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aladdin,2019,PG,128,"Adventure, Comedy, Family",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,6.9,53,254964,355.56,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Furious 7,2015,PG-13,137,"Action, Crime, Thriller",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.2,67,381916,353.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Transformers: Dark of the Moon,2011,PG-13,154,"Action, Adventure, Sci-Fi","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",6.2,42,400867,352.39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Sniper,2014,R,133,"Action, Biography, Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",7.3,72,471016,350.13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8,87,1594041,342.55,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zootopia,2016,PG,108,"Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8.0,78,476883,341.27,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1,2014,PG-13,123,"Action, Adventure, Sci-Fi","Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",6.6,64,442358,337.14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spider-Man 3,2007,PG-13,139,"Action, Adventure, Sci-Fi","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.3,59,567490,336.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Minions,2015,PG,91,"Animation, Adventure, Comedy","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",6.4,56,227798,336.05,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joker,2019,R,122,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.4,59,1165303,335.45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Aquaman,2018,PG-13,143,"Action, Adventure, Fantasy","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",6.9,55,436259,335.06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,2017,PG-13,133,"Action, Adventure, Sci-Fi","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",7.4,73,618187,334.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alice in Wonderland,2010,PG,108,"Adventure, Family, Fantasy","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",6.4,53,404496,334.19,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy,2014,PG-13,121,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.1,76,1130530,333.18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman v Superman: Dawn of Justice,2016,PG-13,152,"Action, Adventure, Sci-Fi","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.5,44,681306,330.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Forrest Gump,1994,PG-13,142,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",8.8,82,1977366,330.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
It,2017,R,135,Horror,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3,69,511542,327.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Suicide Squad,2016,PG-13,123,"Action, Adventure, Fantasy",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,5.9,40,668094,325.1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deadpool 2,2018,R,119,"Action, Adventure, Comedy","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",7.7,66,546366,324.59,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars,1977,PG,121,"Action, Adventure, Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,90,1312292,322.74,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shrek the Third,2007,PG,93,"Animation, Adventure, Comedy","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",6.1,58,298541,320.71,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers,2007,PG-13,144,"Action, Adventure, Sci-Fi","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",7.1,61,624076,319.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Iron Man,2008,PG-13,126,"Action, Adventure, Sci-Fi","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,79,1018547,318.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,65,745089,317.58,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,"Action, Adventure","In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",6.2,65,445711,317.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumanji: The Next Level,2019,PG-13,123,"Action, Adventure, Comedy","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",6.7,58,234445,316.83,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,92,1786175,315.54,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor: Ragnarok,2017,PG-13,130,"Action, Adventure, Comedy","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,74,686993,315.06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2,2010,PG-13,124,"Action, Adventure, Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7.0,57,786180,312.43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Star Wars: Episode II - Attack of the Clones,2002,PG,142,"Action, Adventure, Fantasy","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",6.6,54,683979,310.68,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End,2007,PG-13,169,"Action, Adventure, Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",7.1,50,628787,309.42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,1983,PG,131,"Action, Adventure, Fantasy","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",8.3,58,1014119,309.13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Independence Day,1996,PG-13,145,"Action, Adventure, Sci-Fi","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",7.0,59,559954,306.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.1,63,1068856,305.41,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
